"mjop_discipline";"grids_discipline";"ele_tekst";"proposed_assetType";"ele_eenheid";"ele_soort";"ele_nlsfbhoofd";"element_count";"row_count"
"E-Installatie";"Elektra";"Onderverdeelkast OVK1-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-11";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-1-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK1-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-12";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-13";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-14";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-15";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-16";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK4-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK4-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK4-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK5-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK5-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK6-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-A-0";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-A-0.1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-A-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-A-1.1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-A-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-B-0";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-B-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-B-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-H-2.1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-H-2.2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-H-2.3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-K-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-K-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-K-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-k-4";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-K-5";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast Terrein";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast VK";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast Woningen";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Schakelkast hydrofoor";"Schakelkast hydrofoor";"st";"Regeling klimaat en sanitair";"58";;"1"
"E-Installatie";"Elektra";"Sleutelkast Begane grond";"Sleutelkast";"st";"";"65";"12";"23"
"E-Installatie";"Elektra";"Terrein; schuifpoort";"Schuifpoort";"st";"";"90";"2";"3"
"E-Installatie";"Elektra";"Terrein; slagboom Buitendeur huisvest. parkeerplaats";"Slagboom";"pst";"";"90";;"1"
"E-Installatie";"Elektra";"Terreinverlichting";"Terreinverlichting";"st";"";"90";"5";"9"
"E-Installatie";"Elektra";"Terreinverlichting gevelarmaturen";"Terreinverlichting";"st";"";"90";"2";"2"
"E-Installatie";"Elektra";"Terreinverlichting lichtmast";"Terreinverlichting";"st";"";"90";"2";"2"
"E-Installatie";"Elektra";"Toegangscontrole-installatie";"Toegangscontrole-installatie";"st";"";"65";"11";"11"
"E-Installatie";"Elektra";"Verlichtingsarmaturen (LED)";"Verlichtingsarmaturen (LED)";"bvo";"Verlichting";"63";"9";"12"
"E-Installatie";"Elektra";"Zonnecollector";"Zonnecollector";"st";"Warmteopwekking";"51";"3";"3"
"E-Installatie";"Elektra";"Zonnepanelen - Omvormer en PV-panelen";"Zonnepanelen";"st";"E-Installatie";"61";"4";"12"
"E-Installatie";"Elektra";"Zonwering screens elektrisch";"Zonwering screens";"st";"";"31";;"3"
"E-Installatie";"Elektra";"Zonwering, knikarmscherm elektrisch (breedte <2m)";"Zonwering knikarmscherm";"st";"";"31";;"3"
"Kone";"Bouwkunde";"Automatische draaideur 1e gallerij 11-20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur 1e gallerij 3-10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur BG gallerij 11-20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur BG gallerij 3-10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Binnendeur aanleunwo.";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Binnendeur aanleunwo. naast lift";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Binnendeur noodunit";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Binnendeur tuin/terras";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Buitendeur entree 11-20";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Buitendeur gang aanleunwo.";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Buitendeur gesloten afdeling, UWD2";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Buitendeur tuin";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische draaideur C1 Spoelkeuken";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Entree gesloten afdeling";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Gesloten afdeling";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur M/S keuken naast lift";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Personeelsuitgang";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK11";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK12";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK13";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK14";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK15";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK16";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK17";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK18";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK19";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK2";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK21";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK3";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK4";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK5";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK6";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK7";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK8";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 HK9";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S2 Rookruimte";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK1";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK11";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK12";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK13";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK14";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK15";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK16";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK17";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK18";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK19";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK2";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK21";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK3";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK4";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK5";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK6";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK7";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK8";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S3 HK9";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK1";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK11";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK12";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK13";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK14";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK15";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK16";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK17";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK18";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK19";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK2";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK21";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK3";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK5";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK6";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK7";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK8";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S4 HK9";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK1";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK10";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK11";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK12";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK13";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK14";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK15";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK16";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK17";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK18";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK19";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK2";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK21";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK3";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK4";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK5";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK6";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK7";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK8";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S5 HK9";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur S6 Opslag";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische draaideur Tussendeur gang aanleunwo.";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur - telescopische deur B1 Gesloten afd. De Berk";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur - telescopische deur B1 Thuiszorg Elde";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur - telescopische deur E1 Gesloten afd. De Linde";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur - telescopische deur H1 Receptie/liften";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur 1e verd. PG";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur B1 Oleander";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur B2 Afd. Oliander";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur B2 Lift/trap/restaurant";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur B3 Griepvaccinatie";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur B4 Oleander";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur 5e verd.";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur entree";"Automatische deuren";"st";"";"32";"2";"2"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur entree buitenhuis";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur gang naar kantoren";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Binnendeur restaurant";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Brand scheiding tussendeur";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur achter";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur binnenplaats";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur entree";"Automatische deuren";"st";"";"31";"3";"3"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur entree buitenhuis";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur scootmobielruimte";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Buitendeur Zorgwinkel";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C1 Binnendeur goederen";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C1 Buitendeur goederen";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C1 ICT/gang";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C1 Schoonegang keuken";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C1 TD Ruimte";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C2 Dommelzicht";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C2 Restaurant JBZ";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur C2 Restaurant/Gesloten afd.";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur E2 Gesloten afd. De Peel";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Gelsoten afdeling, BG vlasblom";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Gesloten afdeling, 1e vlaspit";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur H1 Binnendeur Corridor";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur H1 Buitendeur Corridor";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur H1 Corridor/half receptie";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur H1 Receptie/liften";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur H2 Restaurant/trap";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Locatie niet bekend - nader te bepalen";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur P1 Gesloten afd. De Kempen";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur P2 Gesloten afd. Meierij";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S2 HK20";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S2 Huiskamer";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S3 Entree Egelantier";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S3 Huiskamer";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S3 Rookruimte";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur S4 Huiskamer";"Automatische deuren";"st";"";"32";;"1"
