"mjop_discipline";"grids_discipline";"ele_tekst";"proposed_assetType";"ele_eenheid";"ele_soort";"ele_nlsfbhoofd";"element_count";"row_count"
"Kone";"Bouwkunde";"Automatische schuifdeur S5 Huiskamer";"Automatische deuren";"st";"";"32";;"1"
"Kone";"Bouwkunde";"Automatische schuifdeur Toegangs tuin t.p.v. noodt";"Automatische deuren";"st";"";"31";;"1"
"Kone";"Bouwkunde";"Terrein; schuifpoort";"Automatische deuren";"st";"";"90";;"1"
"Organisatorisch";"";"Bijdrage MJOP Woonzorg Nederland";"Organisation";"pst";"";"99";;"10"
"Organisatorisch";"";"Overig Preventief Onderhoud (Keuringen - Inspecties)";"Organisation";"BVO";"";"99";"9";"18"
"Organisatorisch";"";"Projecten";"Organisation";"pst";"";"99";;"1"
"Organisatorisch";"";"Storingsonderhoud (Exploitatie)";"Organisation";"pst";"";"99";"13";"14"
"Organisatorisch";"";"Storingsonderhoud Algemeen (Exploitatie)";"Organisation";"pst";"";"99";;"1"
"Organisatorisch";"";"VVE Bijdrage";"Organisation";"pst";"";"99";;"1"
"Transport";"Transportinstallaties";"Personenlift";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift (Elektrische lift)";"Personenlift";"st";"";"66";;"5"
"Transport";"Transportinstallaties";"Personenlift (Grote lift)";"Personenlift";"st";"";"66";;"7"
"Transport";"Transportinstallaties";"Personenlift (Hoofdingang Links)";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift (Hoofdingang Rechts)";"Personenlift";"st";"";"66";;"5"
"Transport";"Transportinstallaties";"Personenlift (Kleine lift)";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift (Kleine lift) Achterin pand gelegen";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift (Lift 1)";"Personenlift";"st";"";"66";;"5"
"Transport";"Transportinstallaties";"Personenlift (Lift 1) Somatiek Trappenhuiszijde";"Personenlift";"st";"";"66";;"2"
"Transport";"Transportinstallaties";"Personenlift (Lift 2)";"Personenlift";"st";"";"66";;"5"
"Transport";"Transportinstallaties";"Personenlift (Lift 2) Somatiek Gangzijde";"Personenlift";"st";"";"66";;"3"
"Transport";"Transportinstallaties";"Personenlift (Lift A) Entreebalie";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift (Lift B) Restaurant links";"Personenlift";"st";"";"66";;"4"
"Transport";"Transportinstallaties";"Personenlift Bouwdeel E (De Banaan)";"Personenlift";"st";"";"66";;"6"
"Transport";"Transportinstallaties";"Personenlift Hoofdingang";"Personenlift";"st";"";"66";;"5"
"Transport";"Transportinstallaties";"Personenlift Restaurant links";"Personenlift";"st";"";"66";;"5"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem < 2,5 kW";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 10 kW";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"4";"8"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"8";"16"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"4";"8"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW (19)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW (21)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW (22)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW duo split (4)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW duo split ac (4)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW duo split ac (7)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Restaurant (1)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Restaurant (2)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Restaurant (3)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Restaurant (4)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Restaurant (5)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW Serverruimte (5a)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (1)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (10)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (14)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (15)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (16)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (17)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (18)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (19)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (2)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (20)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (3)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (4)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (5)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (6)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split (8)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split rec.zaal 1e verd.";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW split serverruimte";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";;"2"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 2,5 - 5 kW trio split (12)";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"2";"6"
"W-Installatie";"Werktuigbouwkundig";"(Multi) Splitsysteem 7 - 10 kW";"Multi-Splitsysteem";"st";"Koudeopwekking";"55";"6";"12"
"W-Installatie";"Werktuigbouwkundig";"Afzuiginstallatie (gassen)";"Afzuiginstallatie (gassen)";"st";"";"57";;"1"
"W-Installatie";"Werktuigbouwkundig";"Afzuigventilator";"Afzuigventilator";"st";"";"57";"3";"3"
"W-Installatie";"Werktuigbouwkundig";"Afzuigventilator";"Afzuigventilator";"st";"";"57";"3";"3"
"W-Installatie";"Werktuigbouwkundig";"Boiler 700 liter";"Boiler";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Boiler direct gestookt 300 liter";"Boiler";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Boiler direct gestookt industrieel < 250 liter";"Boiler";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Boiler indirect gestookt 300 liter";"Boiler";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Boiler indirect gestookt 500 liter";"Boiler";"st";"";"53";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Buffervat";"Buffervat";"st";"";"53";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Buffervat 1000 liter";"Buffervat";"st";"";"53";"6";"6"
"W-Installatie";"Werktuigbouwkundig";"Buffervat 1250 liter";"Buffervat";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Buffervat 1500 liter";"Buffervat";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Buffervat 500 liter";"Buffervat";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Buffervat 800 liter";"Buffervat";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp";"Circulatiepomp";"st";"";"56";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp";"Circulatiepomp";"st";"";"56";"22";"22"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp (CV)";"Circulatiepomp";"st";"";"56";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp (ketels)";"Circulatiepomp";"st";"";"56";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp (TSA - CV)";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp GKW";"Circulatiepomp";"st";"";"56";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 100-100F";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 32-100F";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 32-60F";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 40-150F";"Circulatiepomp";"st";"";"56";"3";"3"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 40-80F";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 50-180F";"Circulatiepomp";"st";"";"56";"3";"3"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp Magna3 65-150F";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Circulatiepomp TPE2 50-240N";"Circulatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Dakventilator";"Dakventilator";"st";"";"57";"6";"6"
"W-Installatie";"Werktuigbouwkundig";"Dakventilator";"Dakventilator";"st";"";"57";"7";"7"
"W-Installatie";"Werktuigbouwkundig";"Dakventilator (vaatwasser)";"Dakventilator";"st";"";"57";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Dakventilator 0,7 - 1,4 m3/s";"Dakventilator";"st";"";"57";;"1"
"W-Installatie";"Werktuigbouwkundig";"Droogkoeler";"Droogkoeler";"st";"Koudeopwekking";"55";;"1"
"W-Installatie";"Werktuigbouwkundig";"Droogkoeler 200 kW";"Droogkoeler";"st";"Koudeopwekking";"55";;"1"
"W-Installatie";"Werktuigbouwkundig";"Expansieautomaat 600 liter";"Expansieautomaat";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Expansievat 140 liter";"Expansievat";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Expansievat 200 liter (zonnepaneel)";"Expansievat";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Expansievat 300 ltr";"Expansievat";"st";"Koudeopwekking";"56";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Expansievat 540 liter";"Expansievat";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Expansievat 600 liter (installatie))";"Expansievat";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Hemelwaterafvoer/ goten";"Hemelwaterafvoer/goten";"pst";"";"52";"12";"12"
"W-Installatie";"Werktuigbouwkundig";"Hydrofoor";"Hydrofoor";"st";"";"53";"4";"4"
"W-Installatie";"Werktuigbouwkundig";"Ketel elektrisch 100 - 150 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel elektrisch 300 - 400 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel elektrisch 40 - 65 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel elektrisch HR 40 - 65 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel Gasgestookt combi Hr 24 kW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR < 25 KW";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 150 - 200 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 200 kW";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 300 - 400 KW";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (ketel 1)";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (ketel 2)";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (ketel 3)";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (ketel 4)";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (ketel 5)";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (Tapwaterketel 1)";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (Tapwaterketel 2)";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 40 - 65 KW (Tapwaterketel)";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 400 - 500 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 45 KW";"CV-Ketel";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ketel gasgestookt HR 550 kW";"CV-Ketel";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Koelcel (mortuarium begane grond)";"Koelcel";"st";"";"73";;"1"
"W-Installatie";"Werktuigbouwkundig";"Koelmachine < 20 kW";"Koelmachine";"st";"Koudeopwekking";"55";"2";"7"
"W-Installatie";"Werktuigbouwkundig";"Koelmachine 130 - 150 kW";"Koelmachine";"st";"Koudeopwekking";"55";;"1"
"W-Installatie";"Werktuigbouwkundig";"Koelmachine 20 - 30 kW";"Koelmachine";"st";"Koudeopwekking";"55";"3";"5"
"W-Installatie";"Werktuigbouwkundig";"Koelmachine 250 - 300 kW";"Koelmachine";"st";"Koudeopwekking";"55";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"LBK Afvoer buitenopstelling 10.000 m?/h";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK buitenopstelling";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK buitenopstelling 10.000 m?/h";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer  binnenopstelling (keuken)";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer binnenopstelling (< 3600 m3/s)";"Luchtbehandelingskasten (LBK)";"st";"";"57";"6";"6"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer binnenopstelling (recreatie)";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer binnenopstelling [...... m3/h]";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"1"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer binnenopstelling [12.000 m3/h]";"Luchtbehandelingskasten (LBK)";"st";"";"57";"5";"5"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer binnenopstelling [14.000 m3/h]";"Luchtbehandelingskasten (LBK)";"st";"";"57";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer buitenopstelling [< 3.600 m3/h]";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer buitenopstelling [>12.000 m3/h]";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"LBK toe-/afvoer buitenopstelling [3.600 m3/h - 10.000 m?/h)";"Luchtbehandelingskasten (LBK)";"st";"";"57";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"LBK Toevoer buitenopstelling 10.000 m?/h";"Luchtbehandelingskasten (LBK)";"st";"";"57";;"2"
"W-Installatie";"Werktuigbouwkundig";"Mechanische ventilatie-unit + WTW";"Mechanische ventilatie-unit + WTW";"st";"";"57";;"1"
"W-Installatie";"Werktuigbouwkundig";"Ontgasser";"Ontgasser";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Opvoerpomp";"Opvoerpomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Regelinstallatie";"Regelinstallatie";"st";"Regeling klimaat en sanitair";"58";"4";"8"
"W-Installatie";"Werktuigbouwkundig";"Regelinstallatie (RK01)";"Regelinstallatie";"st";"Regeling klimaat en sanitair";"58";"3";"5"
"W-Installatie";"Werktuigbouwkundig";"Regelinstallatie (RK03)";"Regelinstallatie";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelinstallatie (RK04)";"Regelinstallatie";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast";"Regelkast";"st";"Regeling klimaat en sanitair";"58";"6";"12"
"W-Installatie";"Werktuigbouwkundig";"Regelkast (RKCV1)";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast (RKCV2)";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast (RKKM1)";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast (RKWKK)";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast RK01";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast RK02";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Regelkast RK03";"Regelkast";"st";"Regeling klimaat en sanitair";"58";;"2"
"W-Installatie";"Werktuigbouwkundig";"Tapwaterpomp";"Tapwaterpomp";"st";"";"56";"11";"11"
"W-Installatie";"Werktuigbouwkundig";"Tapwaterpomp (verdeler)";"Tapwaterpomp";"st";"";"53";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Tapwaterpomp (zonnepaneel)";"Tapwaterpomp";"st";"";"53";;"1"
"W-Installatie";"Werktuigbouwkundig";"Tegenstroomapparaat (TSA)";"Tegenstroomapparaat (TSA)";"st";"Warmteopwekking";"51";"8";"8"
"W-Installatie";"Werktuigbouwkundig";"Toevoerventilator";"Toevoerventilator";"st";"";"57";;"1"
"W-Installatie";"Werktuigbouwkundig";"Transportcirculatiepomp";"Transportcirculatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Transportcirculatiepomp (twin)";"Transportcirculatiepomp";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"TSA (zonnepaneel)";"Tegenstroomapparaat (TSA)";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"Voorrraadvat CV";"Voorraadvat";"st";"";"53";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"Voorrraadvat GKW";"Voorraadvat";"st";"";"53";;"2"
"W-Installatie";"Werktuigbouwkundig";"Vuilwaterpomp";"Vuilwaterpomp";"st";"";"52";;"1"
"W-Installatie";"Werktuigbouwkundig";"Warmtepomp";"Warmtepomp";"st";"Warmteopwekking";"51";"6";"6"
"W-Installatie";"Werktuigbouwkundig";"Warmtepomp 40 kW";"Warmtepomp";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Warmtewisselaar pakking 200 kW";"Warmtewisselaar";"st";"";"56";;"1"
"W-Installatie";"Werktuigbouwkundig";"Water/water warmtepomp 40 - 60 kW";"Warmtepomp";"st";"Warmteopwekking";"51";;"1"
"W-Installatie";"Werktuigbouwkundig";"Water/water warmtepomp 70 - 110 kW";"Warmtepomp";"st";"Warmteopwekking";"51";"2";"2"
"W-Installatie";"Werktuigbouwkundig";"WKO";"Warmte Koude Opslag (WKO)";"st";"Warmteopwekking";"51";"2";"4"
"W-Installatie";"Werktuigbouwkundig";"Zonneboiler 500 liter";"Zonneboiler";"st";"";"53";"3";"3"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koelcel (keuken begane grond)";"Koelcelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koelcel (keuken)";"Koelcelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koelcel (restaurant 1e verdieping)";"Koelcelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koelcel (restaurant begane grond)";"Koelcelinstallatie";"st";"";"73";"2";"2"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koelcelinstallatie (keuken)";"Koelcelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Koel-vriescel";"Vriescelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Vriescel (keuken 1e verdieping)";"Vriescelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Vriescel (keuken begane grond)";"Vriescelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Vriescel (keuken)";"Vriescelinstallatie";"st";"";"73";;"1"
"W-Installatie Keuken";"Werktuigbouwkundig";"Vriescelinstallatie (keuken)";"Vriescelinstallatie";"st";"";"73";;"1"
