id,naam,soort_activiteit,doelgroep,aantal_beschikbaar,locatie,korte_omschrijving,duur,benodigdheden,beschikbaar,opmerkingen,bestandslink,thema
1,Sleutels van Petrus,Escaperoom,Tieners 12-16 jaar,1,Uden,Een escaperoom over Petrus. Aan de hand van de opdrachten proberen de deelnemers een code te achterhalen om de sleutels van Petrus terug te krijgen. Voor deze escaperoom zijn materialen aanwezig om het met maximaal 8 groepen tegelijkertijd te spelen.,60 min.,Kaarten schrijfmateriaal en ect snoepsleutels als beloning in de pot met sleutels,Vrij,"Populair bij groep 3 , Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Geloof & Hoop, Gemeenschap"
2,Jezus zegent de kinderen,Escaperoom,Kinderen 9-12 jaar,1,Uden,"""We gaan vandaag iets bijzonders doen: we stappen in het verhaal van Jezus die de kinderen zegent. Maar om dit verhaal goed te begrijpen, moeten we eerst iets oplossen...""",30 min,"Hoepels, ballen schrijf- en kleurmateriaal en evt schilderstape",Vrij,Moeilijk bij grote groepen Er zijn hier 2 versies van. Er is een versie waarbij je het doolhof letterlijk op de grond uitzet. Dit doe je door middel van tape.,,Geloof & Hoop
3,Schat van Barmhartigheid,"Spel, Circuit",Kinderen 9-12 jaar,1,Uden,"De kinderen ontdekken de 8 Werken van Barmhartigheid door samen een ""schat"" te verzamelen: acht waarden/handelingen die je rijk maken in Gods ogen.",45 min,"Papier, lijm, stiften kleurpotloden bij 2 opdrachten evt echt brood, blinddoeken, pennen, plakband, (kapla)blokken,",Vrij,Nieuwe set aanwezig,,Gemeenschap
4,Bijbels Party en Co,Spel,Alle leeftijden,1,Uden,"Bij Bijbels Party & Co gaan jullie op een speelse en interactieve manier aan de slag met de Bijbel.
In teams voeren jullie verschillende opdrachten uit, zoals vragen beantwoorden, uitbeelden, tekenen en omschrijven.
Samenwerken en creativiteit staan centraal.
Het doel is om al spelend meer te ontdekken over bijbelverhalen en -kennis.",60 min,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop, Bijbel"
5,Vurig Roofspel,Spel,Tieners 12-16 jaar,1,Uden,"Bij het Vurig Roofspel gaan jongeren op een actieve en speelse manier met elkaar in gesprek rond het thema Pinksteren.
In een tik- en roofspel voeren ze twee-aan-twee gesprekken aan de hand van verdiepende vragen.
Zo leren ze elkaar beter kennen en ontdekken ze wat hen in vuur en vlam zet.
Groepsvorming, ontmoeting en geloofsgesprek staan centraal.",n.v.t.,"Blad met alle namen van de deelnemers, pennen, grote kaars, een theelichtje per deelnemer",Vrij,,,Pinksteren
6,Paasescape,Escaperoom,Kinderen 9-12 jaar,1,Uden,"In deze Paas-escaperoom werken kinderen uit groep 5-6 samen om te ontsnappen uit een afgesloten ruimte.
Door puzzels, spelletjes en rekenopdrachten ontdekken ze stap voor stap het paasverhaal.
Samenwerken, goed kijken en logisch nadenken staan centraal.
Zo beleven kinderen het verhaal van Jezus op een speelse en begrijpelijke manier.",n.v.t.,"Pennen, koffer met slot ingesteld op de juiste code (195)",Vrij,"Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Goede week, Geloof & Hoop, Pasen"
7,Paasescape,Escaperoom,Tieners 12-16 jaar,1,Uden,"In deze Paas-escaperoom werken tieners samen om te ontsnappen uit een afgesloten ruimte.
Door uitdagende puzzels en creatieve opdrachten ontdekken ze stap voor stap het paasverhaal.
Samenwerking, logisch denken en durven zoeken staan centraal.
Zo beleven tieners het lijden, sterven en de opstanding van Jezus op een actieve manier.",n.v.t.,"Pennen, koffer met slot ingesteld op de juiste code (195)",Vrij,"Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Goede week, Geloof & Hoop, Pasen"
8,Kennismakingskwartet,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop"
9,QR- tocht,"Spel, Circuit",Tieners 12-16 jaar,1,Bisdom,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Geloof & Hoop"
10,Bijbels 30 seconds,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop, Bijbel"
11,10 geboden,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
12,Wie is het ,Spel,Alle leeftijden,1,Uden,Bijbelse personen,n.v.t.,n.v.t.,Vrij,,,"Goede week, Bijbel"
13,Bijbels Pim Pam Pet,Spel,Alle leeftijden,2,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen, Bijbel"
14,Bijbelse dilemma's,Spel,Alle leeftijden,2,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
15,Bingo,Spel,Alle leeftijden,1,Uden,Bijbelse personen,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
16,Ganzenbord,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,Thema Pasen,,"Geloof & Hoop, Zoeken & Twijfelen"
17,Heiligen kwartet,Spel,Alle leeftijden,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap, Allerheiligen"
18,Hoop doet Leven,"Spel, Circuit",Alle leeftijden,1,Uden,We spelen een spel waarbij we allemaal ons steentje kunnen bijdragen. We hebben de tekst 'Hoop is ...' vertaald in x aantal (gekozen) opdrachten. De bedoeling van het spel is dat jullie al deze opdrachten gaan vervullen in zestig minuten. ,n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
19,Levend Cluedo,Spel,Tieners 12-16 jaar,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Goede week"
20,De tijd tikt,Escaperoom,Tieners 12-16 jaar,1,n.b.,"Jongens en meiden ontdekken dat professor Time R. de tijd heeft gestolen en de wereld daardoor dreigt te ontsporen.
In een reeks puzzels en spelletjes moeten ze de juiste tijd achterhalen en de klok zo snel mogelijk instellen.
Ze werken samen, lossen raadsels op en voeren creatieve opdrachten uit binnen de tijd.
Zo leren ze elkaar aanmoedigen, eigenschappen van zichzelf en van het andere geslacht ontdekken, én de tijd redden!",n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
21,Vraag maar raak,"Spel, Thema-avond",Tieners 12-16 jaar,1,n.b.,"In deze speelse tieneractiviteit voeren teams verschillende quiz- en doe-opdrachten uit in triviant vorm.
Taalspelletjes, kennisvragen, creatieve opdrachten en een Bijbelmoment wisselen elkaar af.
Tieners denken na over wijsheid aan de hand van het verhaal van Salomo en mogen zelf vragen stellen.
Zo ontstaat een energieke avond vol spel, gesprek en geloofsverdieping.",n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
22,Stuiterballenfeest,Thema-avond,Tieners 12-16 jaar,1,n.b.,"Het Stuiterballenfeest is een speelse werkvorm waarin tieners nadenken over drukte en balans in hun leven.
Met een humoristische insteek ontdekken ze hoe vol hun agenda soms is.
De activiteit nodigt uit tot gesprek over rust, energie en keuzes maken.
Zo leren tieners bewust omgaan met hun tijd en grenzen.",n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
23,Groepsdruk,Thema-avond,Tieners 12-16 jaar,1,n.b.,"In deze actieve tieneravond ontdekken deelnemers wat groepsdruk is en hoe die werkt.
Via uitdagende spellen ervaren ze zelf de spanning tussen meegaan met de groep en trouw blijven aan zichzelf.
Bijbelverhalen en gesprekken helpen om dit te koppelen aan geloof en persoonlijke keuzes.
Zo leren tieners omgaan met sociale druk en elkaar positief te beïnvloeden.",n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
24,Offline,Thema-avond,Tieners 12-16 jaar,1,n.b.,"In deze offline-avond leggen tieners hun telefoons weg en beleven ze spelletjes uit de online wereld in het echt.
Via actieve opdrachten, samenwerking en humor ontdekken ze hoe afhankelijk we zijn van technologie.
Ze maken ook kennis met hoe mensen vroeger zonder smartphones met elkaar communiceerden.
Zo ontstaat een speelse mix van beweging, reflectie en geloofsgesprek.",n.v.t.,n.v.t.,Vrij,,,Goede week
25,Luchtverkeersleiders,Thema-avond,Tieners 12-16 jaar,1,n.b.,"Tieners vouwen en gooien vliegtuigjes om te ontdekken hoe gedachten als vliegtuigjes in hun hoofd landen of weer wegvliegen.
Ze leren als ""luchtverkeersleider"" beslissen welke gedachten aandacht krijgen en welke ze loslaten.
Bijbelverhalen helpen om te zien dat ook God via gedachten en inspiratie richting geeft.
In groepjes bespreken ze ervaringen en oefenen ze met het sturen van hun eigen ""gedachtenverkeer"".",n.v.t.,n.v.t.,Vrij,,,Gemeenschap
26,"Geel, geler, geelst",Thema-avond,Tieners 12-16 jaar,1,n.b.,"Deze feestelijke afsluitingsactiviteit draait helemaal om het thema 'geel'.
Spellen, opdrachten en een creatieve Bijbellezing met emoji's staan centraal.
De avond biedt ruimte voor plezier, ontmoeting en terugblik op het seizoen.
Zo sluiten tieners het jaar samen op een vrolijke manier af.",n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen"
27,Jongens vs meisjes,Thema-avond,Tieners 12-16 jaar,1,n.b.,"Jongens en meiden strijden tegen elkaar in een serie grappige en uitdagende spellen, van woordpuzzels tot snel-reactiespelletjes.
Ze leren samenwerken, elkaar aan te moedigen en ontdekken eigenschappen van het andere geslacht.
Post-its, letters en creatieve opdrachten maken het spel actief en speels.
Door competitie en samenwerking ontdekken ze tegelijkertijd meer over elkaar én zichzelf.",n.v.t.,n.v.t.,Vrij,,,Goede week
28,Eenzaamheid,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze bijeenkomst staat het thema 'Eenzaamheid' centraal. De tieners onderzoeken wat het betekent om alleen te zijn en ontdekken hoe ze samen of juist individueel uitdagingen kunnen aanpakken. Door spellen, persoonlijke reflecties en Bijbelverhalen leren ze hoe belangrijk verbinding met anderen is en hoe relaties steun en vreugde kunnen bieden. Uiteindelijk bedenken ze concrete manieren om zich met anderen te verbinden en eenzaamheid te doorbreken.",n.v.t.,"Breekkoekjes
Post-its
Pennen
Tape
Blinddoek
Bijbels
Logische puzzels 
Vlaggenlijn
Stiften",Vrij,,,Zoeken & Twijfelen
29,Goede week,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze bijeenkomst duiken we samen  in de Goede Week. we maken een mindmap en spelen een Kahoot om de verhalen van Palmpasen, Witte Donderdag, Goede Vrijdag en Pasen te verkennen. Daarna werken ze samen aan een groot kruis, waarbij creativiteit, samenwerking en bijbelse verdieping samenkomen.",n.v.t.,"•	Bijbels
•	papier
•	Stiften
•	Kruisjes
•	Telefoon
•	Lijm",Vrij,"Kahoot, moet er in verwerkt worden?",,"Goede week, Pasen"
30,Hoop  ,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"Tijdens deze bijeenkomst verkennen de tieners het thema Hoop door een woordweb te maken over wat hoop voor hen betekent en voorbeelden uit het nieuws te delen. Daarna duiken ze in Johannes 6:1-15 om te ontdekken wat belangrijk is in het verhaal. In de creatieve verwerking maken ze ""Hoopgevers"" voor iemand uit de groep en om uit te delen na de mis, terwijl ze in gesprek gaan over hoop in het dagelijks leven.",n.v.t.,"•	Bijbels
•	Whiteboard + stiften
•	Werkblad Hoopgever
•	Kaartjes Hoopgevers
•	Stiften / pennen",Vrij,,,"Geloof & Hoop, Gemeenschap"
31,Licht,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze activiteit rondom het thema 'Licht' ontdekken de tieners de betekenis van Maria-Lichtmis en Jezus als het Licht van de wereld. Ze maken creatieve lichtschilderijen door met lampjes te tekenen in een donkere ruimte, waarbij beweging en licht samen een foto vormen. Tijdens het proces bespreken ze de bijbelse verhalen over Jezus' opdracht in de tempel en de symboliek van Lichtmis. Zo verbinden ze creativiteit, geloof en reflectie op een speelse manier.",n.v.t.,"•	Bijbels
•	Kleine lampjes
•	Camera waar je een lange sluitertijd in kunt stellen
•	Statief (of vlakke ondergrond) voor de camera
•	Donkere ruimte (gordijnen dichtmaken en lampen uit'
•	Laptop",Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen"
32,Ontmoeten,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze bijeenkomst ontmoeten de tieners elkaar rondom het aansteken van een kaars en een korte kennismaking. Terwijl ze een poppetje van zichzelf maken, delen ze hun gedachten en verhalen met elkaar. Ze krijgen uitleg over het engeltjes-project, waarbij ze later thuis een handgeschreven brief opsturen, en ontdekken zo de waarde van persoonlijke verbinding.",n.v.t.,"•	Gesprekspot
•	Poppetjes
•	Stiften •	Enveloppen 
•	Postzegel voor iedere tiener (om zo niemand op kosten te jagen)
•	Kaars?
•	Voorbeeld brief",Vrij,,,Gemeenschap
33,Steun,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze bijeenkomst staat het thema 'Steun' centraal. De tieners reflecteren op bijbelteksten, delen wat hen raakt en bespreken hoe ze elkaar kunnen steunen. Door samen spellen te spelen, zoals Mijnenveld en Traffic Jam, ervaren ze letterlijk en figuurlijk hoe belangrijk samenwerking en aandacht voor elkaar zijn. Zo ontdekken ze dat steun geven en ontvangen zowel kracht als plezier kan brengen.",n.v.t.,"•	Bijbels
•	Blinddoek(en)
•	Stoelen en stapstenen voor parcours mijnenveld
•	13 hoepels",Vrij,,,Gemeenschap
34,Twijfel,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze activiteit ontdekken de tieners het thema Twijfel door samen Mattheüs 4:1-11 te lezen en te bespreken welke keuzes Jezus kreeg en wat dit betekent. Vervolgens gaan ze in het spel ""Over de streep"" aan de slag met dagelijkse dilemma's, waardoor ze nadenken over hun eigen keuzes en afwegingen. Zo leren ze ervaren dat twijfels normaal zijn en hoe ze wijs kunnen omgaan met verleidingen en keuzes in het dagelijks leven.",n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Geloof & Hoop"
35,Vriendschap,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"In deze bijeenkomst staat het thema 'Vriendschap' centraal. De tieners ervaren letterlijk en figuurlijk wat het betekent om elkaar te dragen en te steunen, en ontdekken dat vriendschap zowel lachen als troosten inhoudt. Aan de hand van het verhaal van David en Jonathan onderzoeken ze eigenschappen van een goede vriend, zoals luisteren, beschermen en jezelf opzijzetten. Door creatieve opdrachten en spellen leren ze samen reflecteren, delen ze ervaringen en bouwen ze een beeld van wat echte vriendschap betekent.",n.v.t.,"Wasknijpers
Werkblad Jonatan en David
Werkblad Vriendschap is...
Elastiekjes",Vrij,,,"Zoeken & Twijfelen, Goede week"
36,7 werken,Spel,Tieners 12-16 jaar,1,n.b.,"In het spel van de 7 Werken gaan spelers op een speelse manier aan de slag met de Werken van Barmhartigheid.
Tijdens het bordspel voeren ze opdrachten uit en leren ze hulp geven én ontvangen.
Strategie, samenwerken en vertrouwen in elkaar staan centraal.
Het spel nodigt uit om na te denken over barmhartigheid in het dagelijks leven.",n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Zoeken & Twijfelen"
37,Licht van Hoop,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"Tieners werken samen in het spel 'Licht van Hoop' om puzzelstukken te verzamelen en een betekenisvolle zin te vormen.
Door stellingen, vragen en opdrachten verdienen ze kaarsjes, batterijen en puzzelstukken terwijl ze over hoop en doorzettingsvermogen praten.
Elke beurt daagt hen uit keuzes te maken en samen te overleggen, van fakkels tot ankers.
Aan het einde ontdekken ze dat de Heilige Geest hen kracht geeft als een onblusbare fakkel en reflecteren ze op wat hoop voor hen betekent.",n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
38,Bidden hoe doe je dat?,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Goede week
39,Goede week,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,"Tieners verkennen de Goede Week door in groepjes een stopmotion-filmpje te maken van een gebeurtenis, van Palmpasen tot de Kruisiging.
Ze brainstormen eerst over hun onderdeel en bedenken hoe ze het in beeld brengen.
Met basismaterialen zoals Lego, klei en Kapla en extra creatieve items brengen ze het verhaal tot leven.
Zo leren ze samenwerken, verhalen visualiseren en creatief omgaan met materialen.",n.v.t.,"Materialen zoals, klei, lego, kapla, poppetjes, enz",Vrij,,,"Goede week, Pasen"
40,Dopen - Schoonwassen van de zonde,Bijeenkomst,Tieners 12-16 jaar,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Gemeenschap
41,Bijbels familiekwartet,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Geloof & Hoop, Bijbel"
42,Bijbelteksten domino,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop, Bijbel"
43,Bijbelverhalen kwartet,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
44,Trio memory,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen"
45,Gesprekspot bidden,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap"
46,Bijbels dobbelspel,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Bijbel"
47,Kaartjes van Hoop,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
48,Bijbelse Bingo,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap, Bijbel"
49,Bijbels Kwartet,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
50,Bijbels kwartet,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
51,Gesprekskaarten veilige kerk,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Gemeenschap, Veiligheid"
52,Open kaart over de kerk,Te bepalen,Alle leeftijden,1,Uden,over de synodale kerk,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap, Veiligheid"
53,Bijbelteksten lotto,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen, Bijbel"
54,Dieren memory,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Gemeenschap
55,Zak bijbelquiz OT en NT,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Goede week, Bijbel"
56,Vissenspel,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
57,Ik hou van God-spel,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Zoeken & Twijfelen"
58,Triviant,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Zoeken & Twijfelen
59,Vruchten van de Heilige Geest-spel,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Pinksteren"
60,Geloofsbelijdenis,Te bepalen,Alle leeftijden,1,Uden,In stukken,n.v.t.,n.v.t.,Vrij,,,"Goede week, Zoeken & Twijfelen, Pasen"
61,Kruisweg in het donker,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Pasen"
62,Paaschallenge,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Geloof & Hoop, Pasen"
63,Hemelchallenge,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Gemeenschap
64,Kliederkerken,Te bepalen,Alle leeftijden,1,Uden,Bestanden bij Ingrid,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
65,Kerst Vossenjacht,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Kerst"
66,Kerst memory,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Kerst"
67,Kwartet 10 geboden,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Gemeenschap
68,Talenten bingo,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap"
69,Peuter/Kleutervieringen,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Goede week"
70,Vierwijzer,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,Zoeken & Twijfelen
71,Rozenkrans bidden,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen"
72,Douane spel,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Goede week, Zoeken & Twijfelen"
73,Het boek gaat open,Bijeenkomst,Alle leeftijden,1,,"'Het Boek gaat open...' is een werkvorm waarin jong en oud samen een Bijbelverhaal ontdekken.
Met foto's, eenvoudige materialen en gesprek komen verhalen van Jezus spelenderwijs tot leven.
Deelnemers delen indrukken, vragen en ervaringen op hun eigen niveau.
Zo ontstaat ontmoeting, verdieping en geloofsgesprek tussen verschillende leeftijden.",,Materialen zijn aanwezig,,materiaal om met 6 groepen te spelen,,Geloof & Hoop
74,Escape de Jordaan,Escaperoom,Kinderen 9-12 jaar,,,"In deze escape room volgen de leerlingen aanwijzingen langs een rivier, lossen ze puzzels op en ontdekken ze symbolen die verhalen over een nieuw begin, hoop en vrede. Door goed te kijken en slimme keuzes te maken, verbinden de kinderen symbolen met hun betekenis en vinden ze samen een geheime boodschap. Deze werkvorm stimuleert samenwerking, logisch denken en observatievermogen en maakt het Bijbelverhaal van Johannes en Jezus op een speelse manier toegankelijk voor 8- tot 10-jarigen.",,,,Dit is een tafelescape
75,Escape de Jordaan,Escaperoom,Tieners 12-16 jaar,,,"In deze escape room volgen de leerlingen aanwijzingen langs een rivier, ontcijferen ze symbolen en lossen ze puzzels op die diepere betekenissen van het verhaal van Johannes en Jezus onthullen. Deelnemers moeten verbanden leggen, goed observeren en hun inzicht gebruiken om de juiste symbolen aan betekenissen te koppelen. Zo ontdekken ze een geheime boodschap en ervaren ze het verhaal op een interactieve en uitdagende manier. Deze werkvorm stimuleert samenwerking, kritisch denken en probleemoplossend vermogen en maakt Bijbelse verhalen op een creatieve manier toegankelijk voor tieners.",,,,Dit is een tafelescape
76,Workshops uit gezinsdagen,Te bepalen,Alle leeftijden,1,Uden,Bestanden bij Ingrid,n.v.t.,n.v.t.,Vrij,,,Zoeken & Twijfelen
